symbol,settlement,bid_size,bid,ask,ask_size,last,close,change,open,high,low,previous_close,turnover,volume,operations,datetime,group,expiration
BBG5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-08-21
BBJ25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-06-26
BBJ5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-06-26
BBJ5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-06-26
BBL25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-07-24
BBL5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-07-24
BBL5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-07-24
BBS25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-09-18
BBS5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-09-18
BBS5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-09-18
BBY25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-05-22
BGD25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-12-19
BGD5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-12-19
BGD5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-12-19
BL2Y5,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-05-16
BLJ25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,115.042,0.0,0,0,,GO,2025-06-13
BLL25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-07-18
BLN25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-11-14
BLS25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-09-12
BLY25,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-05-16
BN2M6,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2026-03-31
BNA26,2,1000,114501.001,116180.0,4503,116190.0,0,-0.0024,117400.0,117400.0,113501.0,116479.996,1108088.03,955,37,2025-05-14 16:12:00,GO,2026-04-19
BNA6C,2,0,0.0,102.0,2900,0.0,0,0.0,0.0,0.0,0.0,102.0,0.0,0,0,,GO,2026-04-19
BNA6D,2,1377,100.9,101.1,1572,101.1,0,-0.0039000000000000003,100.9,101.7,100.9,101.5,7294.99,7225,25,2025-05-14 15:42:00,GO,2026-04-19
BNA6X,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,107000.0,0.0,0,0,,GO,2026-04-19
BNA6Y,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2026-04-19
BNA6Z,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2026-04-19
BNM26,2,100,78000.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,76380.5096,0.0,0,0,,GO,2026-03-31
BNM6C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2026-03-31
BNM6D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2026-03-31
BNO25,2,100,92500.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,92500.0,0.0,0,0,,GO,2025-10-19
BNO5C,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-10-19
BNO5D,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,GO,2025-10-19
